tag,game,characters
Rishi,melee,""""""
lloD,melee,"{""melee/peach"": 961, ""melee/falco"": 1, ""melee/fox"": 7, ""melee/marth"": 4, ""melee/sheik"": 1, ""melee/yoshi"": 26, ""melee/zelda"": 2}"
Zain,melee,"{""melee/marth"": 809, ""melee/pichu"": 1, ""melee/mewtwo"": 1, ""melee/link"": 1, ""melee/fox"": 125, ""melee/luigi"": 2, ""melee/jigglypuff"": 11, ""melee/captainfalcon"": 3, ""melee/peach"": 1, ""melee/samus"": 1, ""melee/drmario"": 1, ""melee/roy"": 654, ""melee/falco"": 10, ""melee/sheik"": 37, ""melee/zelda"": 1, ""melee/random"": 2}"
Chu,melee,""""""
Junebug,melee,"{""melee/sheik"": 46, ""melee/falco"": 4, ""melee/ganondorf"": 11}"
Chillin,melee,""""""
Redd,melee,"{""melee/fox"": 138, ""melee/falco"": 2, ""melee/peach"": 2, ""melee/marth"": 3, ""melee/captainfalcon"": 11}"
JOJI,melee,"{""melee/fox"": 89, ""melee/sheik"": 4, ""melee/mario"": 13, ""melee/captainfalcon"": 4, ""melee/falco"": 2}"
Aglet,melee,""""""
Jerry,melee,""""""
Mew2king (unpaid),melee,""""""
Westballz,melee,"{""melee/falco"": 727, ""melee/fox"": 81, ""melee/captainfalcon"": 26, ""melee/donkeykong"": 8, ""melee/marth"": 1, ""melee/samus"": 1, ""melee/sheik"": 1}"
Ginger,melee,""""""
kjh,melee,""""""
tm,melee,""""""
crip,melee,""""""
Mingee,melee,""""""
lain,melee,""""""
i4n,melee,""""""
Sheep,melee,""""""
Parzival,melee,"{""melee/falco"": 7}"
Hellsing,melee,""""""
Duo,melee,""""""
Joka,melee,""""""
Beach,melee,""""""
MajinJoseph,melee,""""""
S2J,melee,"{""melee/captainfalcon"": 2026, ""melee/falco"": 115, ""melee/sheik"": 4, ""melee/marth"": 2}"
Bbbbbbbbbexic,melee,""""""
charlie,melee,""""""
math,melee,""""""
Kuyashi,melee,""""""
WoK,melee,""""""
Kenpachi,melee,""""""
JWinks,melee,""""""
Yung Bitch,melee,""""""
Party Poison,melee,""""""
Pepsi,melee,""""""
Wildturkey,melee,""""""
Tuck,melee,""""""
Apples,melee,""""""
Aghi,melee,""""""
InkaDinkaDoo,melee,""""""
Fire,melee,""""""
Albino,melee,""""""
808,melee,""""""
Freak,melee,""""""
Weeb,melee,""""""
JoeBigs,melee,""""""
Beel,melee,""""""
Pham,melee,""""""
paidbrad,melee,""""""
jackie,melee,""""""
L3375,melee,""""""
tequila,melee,""""""
Rich,melee,""""""
Shadez,melee,""""""
Superwaffles,melee,""""""
Empty Spirits,melee,""""""
Don Juan,melee,""""""
Big Oak,melee,""""""
DATA_EXPUNGED,melee,""""""
buster,melee,""""""
Colony,melee,""""""
Noro,melee,""""""
Theodore,melee,""""""
phlops,melee,""""""
Bad Horse,melee,""""""
ADKnight,melee,""""""
Tuesday,melee,""""""
Psythr,melee,""""""
Barcode,melee,""""""
Kash Kuck,melee,""""""
Cobb,melee,""""""
Fija,melee,""""""
Sasha,melee,""""""
Jopo,melee,""""""
CPU,melee,""""""
The Hood,melee,""""""
Sorry,melee,""""""
D_Lidz,melee,""""""
Jasper,melee,""""""
Stitchface,melee,""""""
rodohk,melee,""""""
Flask,melee,""""""
jam,melee,""""""
Crius,melee,""""""
Aierou,melee,""""""
Beckett,melee,""""""
Zap,melee,""""""
absynthe,melee,""""""
Bird,melee,""""""
DI Moonpuncher,melee,""""""
Rebel Scum,melee,""""""
NASA,melee,""""""
Xeno,melee,""""""
WildCard,melee,""""""
ZACK MAITLAND UNPAID,melee,""""""
Astro,melee,""""""
Juicebox,melee,""""""
Aiya,melee,""""""
Reverb,melee,""""""
ceephax,melee,""""""
Mang0,melee,"{""melee/falco"": 700, ""melee/fox"": 505, ""melee/mario"": 11, ""melee/marth"": 16, ""melee/captainfalcon"": 25, ""melee/sheik"": 1, ""melee/zelda"": 4}"
n0ne,melee,"{""melee/captainfalcon"": 1099, ""melee/ganondorf"": 96, ""melee/mario"": 11, ""melee/fox"": 6, ""melee/mrgameandwatch"": 2, ""melee/drmario"": 2, ""melee/peach"": 1}"
iBDW,melee,"{""melee/fox"": 1191, ""melee/sheik"": 117, ""melee/falco"": 4, ""melee/marth"": 9, ""melee/jigglypuff"": 3, ""melee/donkeykong"": 2, ""melee/mrgameandwatch"": 1, ""melee/samus"": 2, ""melee/luigi"": 2, ""melee/ganondorf"": 3, ""melee/pikachu"": 3, ""melee/iceclimbers"": 1, ""melee/captainfalcon"": 1, ""melee/random"": 1, ""melee/peach"": 1}"
Plup,melee,"{""melee/samus"": 139, ""melee/fox"": 278, ""melee/sheik"": 635, ""melee/luigi"": 37, ""melee/marth"": 7, ""melee/jigglypuff"": 14}"
Hungrybox,melee,"{""melee/jigglypuff"": 3925, ""melee/ness"": 10, ""melee/falco"": 12, ""melee/fox"": 17, ""melee/sheik"": 3, ""melee/ganondorf"": 5, ""melee/drmario"": 2, ""melee/captainfalcon"": 1}"
Ginger,melee,"{""melee/falco"": 2478, ""melee/fox"": 129, ""melee/marth"": 22, ""melee/sheik"": 22, ""melee/kirby"": 48, ""melee/samus"": 4, ""melee/drmario"": 14, ""melee/jigglypuff"": 16, ""melee/random"": 1, ""melee/mrgameandwatch"": 2, ""melee/roy"": 2, ""melee/luigi"": 2, ""melee/bowser"": 1, ""melee/yoshi"": 3}"
Wizzrobe,melee,"{""melee/captainfalcon"": 756}"
Spark,melee,"{""melee/sheik"": 504, ""melee/marth"": 3, ""melee/fox"": 10}"
SFAT,melee,"{""melee/fox"": 1976, ""melee/falco"": 41, ""melee/marth"": 2, ""melee/ganondorf"": 15, ""melee/captainfalcon"": 8}"
Axe,melee,"{""melee/pikachu"": 817, ""melee/falco"": 73, ""melee/younglink"": 124, ""melee/marth"": 29, ""melee/fox"": 22, ""melee/iceclimbers"": 57, ""melee/ganondorf"": 6, ""melee/link"": 2, ""melee/peach"": 1, ""melee/zelda"": 1, ""melee/pichu"": 26, ""melee/mario"": 2, ""melee/jigglypuff"": 1, ""melee/roy"": 1, ""melee/samus"": 6}"
Azel,melee,"{""melee/fox"": 236, ""melee/sheik"": 144, ""melee/falco"": 23, ""melee/marth"": 5}"
Aklo,melee,"{""melee/fox"": 1919, ""melee/link"": 405, ""melee/jigglypuff"": 10, ""melee/marth"": 1, ""melee/sheik"": 2, ""melee/younglink"": 40, ""melee/roy"": 1, ""melee/kirby"": 12}"
PewPewU,melee,"{""melee/marth"": 410, ""melee/fox"": 40, ""melee/captainfalcon"": 5, ""melee/falco"": 12}"
Faceroll,melee,"{""melee/sheik"": 320}"
Albert,melee,"{""melee/falco"": 301, ""melee/fox"": 2}"
FatGoku,melee,"{""melee/fox"": 774, ""melee/bowser"": 6, ""melee/mario"": 1, ""melee/marth"": 1, ""melee/iceclimbers"": 1, ""melee/sheik"": 3}"
Shroomed,melee,"{""melee/sheik"": 653, ""melee/marth"": 141, ""melee/drmario"": 12, ""melee/iceclimbers"": 2, ""melee/captainfalcon"": 5}"
Suf,melee,"{""melee/captainfalcon"": 425, ""melee/bowser"": 1, ""melee/marth"": 36}"
SluG,melee,"{""melee/iceclimbers"": 701, ""melee/fox"": 33}"
moky,melee,"{""melee/fox"": 692, ""melee/marth"": 42, ""melee/zelda"": 2, ""melee/samus"": 2, ""melee/link"": 15, ""melee/yoshi"": 50, ""melee/captainfalcon"": 15, ""melee/iceclimbers"": 10, ""melee/sheik"": 20}"
Colbol,melee,"{""melee/fox"": 1162, ""melee/marth"": 34}"
Gahtzu,melee,"{""melee/captainfalcon"": 1997}"
Fiction,melee,"{""melee/fox"": 173, ""melee/falco"": 323}"
bobby big ballz,melee,"{""melee/falco"": 10221, ""melee/jigglypuff"": 135, ""melee/fox"": 399, ""melee/captainfalcon"": 22, ""melee/bowser"": 1, ""melee/kirby"": 1, ""melee/mrgameandwatch"": 16, ""melee/mario"": 12, ""melee/donkeykong"": 1, ""melee/marth"": 3, ""melee/pikachu"": 203, ""melee/iceclimbers"": 3, ""melee/ganondorf"": 8, ""melee/drmario"": 1, ""melee/sheik"": 1}"
Soonsay,melee,"{""melee/fox"": 880, ""melee/jigglypuff"": 1}"
Lucky,melee,"{""melee/fox"": 1565, ""melee/captainfalcon"": 41, ""melee/falco"": 4, ""melee/pichu"": 1, ""melee/marth"": 76, ""melee/roy"": 1}"
Magi,melee,"{""melee/falco"": 596}"
Kalamazhu,melee,"{""melee/peach"": 342, ""melee/fox"": 31}"
Dacky,melee,"{""melee/fox"": 588, ""melee/falco"": 2}"
KoDoRiN,melee,"{""melee/marth"": 1373, ""melee/roy"": 12}"
Hax$,melee,"{""melee/fox"": 474}"
Ben,melee,"{""melee/sheik"": 5250, ""melee/marth"": 87, ""melee/pichu"": 11, ""melee/luigi"": 72}"
Polish,melee,"{""melee/peach"": 488, ""melee/captainfalcon"": 14, ""melee/ganondorf"": 1, ""melee/link"": 3, ""melee/mario"": 2, ""melee/luigi"": 6, ""melee/yoshi"": 1, ""melee/mrgameandwatch"": 3, ""melee/fox"": 216, ""melee/random"": 14, ""melee/samus"": 1, ""melee/roy"": 1, ""melee/kirby"": 2, ""melee/zelda"": 1, ""melee/jigglypuff"": 15}"
-Caius-,melee,""""""
Bladewise,melee,"{""melee/peach"": 146}"
GOL_482_JSalt,melee,""""""
RiSK__,melee,""""""
MrWhiskerz,melee,""""""
LeeMartian,melee,""""""
Blea Gelo,melee,"{""melee/luigi"": 194, ""melee/fox"": 26, ""melee/pichu"": 1, ""melee/bowser"": 2, ""melee/captainfalcon"": 8, ""melee/marth"": 3, ""melee/ganondorf"": 2, ""melee/link"": 1, ""melee/mario"": 2}"
Smashstudios,melee,""""""
3speon,melee,""""""
Prince_Abu,melee,""""""
fisfity (Ghanima),melee,""""""
RanIji,melee,""""""
Thevelvetmarmot,melee,""""""
djdickdown,melee,""""""
CaptainZack,melee,""""""
mrjackets,melee,""""""
LA-owl,melee,""""""
NOLA-Griff,melee,""""""
Proud2Bginger,melee,""""""
